name,ring,quadrant,isNew,description
3 amigo,Adopt,Techniques,TRUE,
Speck review,Adopt,Techniques,TRUE,
E2E,Adopt,Techniques,TRUE,
Left shift testing,Adopt,Techniques,TRUE,
Планирование релизов,Adopt,Techniques,TRUE,
Scrum,Adopt,Techniques,TRUE,
Kafka,Adopt,Platforms,TRUE,
Oracle,Adopt,Platforms,TRUE,
Postgre,Adopt,Platforms,TRUE,
Kubernetes (K8S),Adopt,Platforms,TRUE,
Sage,Adopt,Platforms,TRUE,
Java 11,Adopt,Languages-And-Frameworks,TRUE,
PL SQL,Adopt,Languages-And-Frameworks,TRUE,
Spring,Adopt,Languages-And-Frameworks,TRUE,
Allure,Adopt,Languages-And-Frameworks,TRUE,
Testcontainers,Trial,Languages-And-Frameworks,TRUE,
Grafana,Adopt,Tools,TRUE,
Kibana,Adopt,Tools,TRUE,
Sage,Adopt,Tools,TRUE,
Postman,Adopt,Tools,TRUE,
PL\SQL developer,Adopt,Tools,TRUE,
DataGrip,Adopt,Tools,TRUE,
Swagger,Adopt,Tools,TRUE,
Allure testops,Adopt,Tools,TRUE,
Gitlab,Adopt,Tools,TRUE,
Gitlab CI,Adopt,Tools,TRUE,
Kafka,Adopt,Tools,TRUE,
Atllasian,Adopt,Tools,TRUE,
IntelliJ Idea,Adopt,Tools,TRUE,